325380 0.22 1 25 10
476 0.284 1 25 10
4500 0.274 1 25 10
196 0.204 1 25 10
42420 0.209 1 25 10
221944 0.244 1 25 10
42960 0.236 1 25 10
6384 0.245 1 25 10
192 0.228 1 25 10
177888 0.19 1 25 10
196 0.31 1 25 10
17500 0.275 1 25 10
3688 0.201 1 25 10
322008 0.274 1 25 10
150840 0.233 1 25 10
12028 0.269 1 25 10
192 0.358 1 25 10
171168 0.259 1 25 10
149268 0.387 1 25 10
196 0.194 1 25 10
8768 0.281 1 25 10
244120 0.356 1 25 10
192 0.249 1 25 10
11304 0.359 1 25 10
334736 0.177 1 25 10
171288 0.278 1 25 10
302760 0.279 1 25 10
196 0.266 1 25 10
8532 0.214 1 25 10
206528 0.342 1 25 10
158080 0.303 1 25 10
196 0.384 1 25 10
9324 0.263 1 25 10
196456 0.303 1 25 10
229316 0.269 1 25 10
9572 0.209 1 25 10
196 0.287 1 25 10
215156 0.24 1 25 10
261736 0.351 1 25 10
196 0.305 1 25 10
8864 0.353 1 25 10
151564 0.299 1 25 10
165348 0.332 1 25 10
10800 0.284 1 25 10
192 0.505 1 25 10
185592 0.322 1 25 10
196 0.345 1 25 10
6564 0.263 1 25 10
149992 0.296 1 25 10
247900 0.32 1 25 10
9320 0.45 1 25 10
196 0.272 1 25 10
216724 0.223 1 25 10
236788 0.193 1 25 10
140468 0.305 1 25 10
8592 0.299 1 25 10
126100 0.286 1 25 10
196 0.252 1 25 10
3992 0.271 1 25 10
58892 0.281 1 25 10
196 0.253 1 25 10
222924 0.241 1 25 10
179312 0.306 1 25 10
68180 0.292 1 25 10
4384 0.272 1 25 10
196 0.205 1 25 10
202232 0.299 1 25 10
55996 0.299 1 25 10
4436 0.246 1 25 10
192 0.304 1 25 10
110896 0.392 1 25 10
4912 0.205 1 25 10
196 0.21 1 25 10
195728 0.396 1 25 10
256972 0.315 1 25 10
58168 0.317 1 25 10
5664 0.273 1 25 10
192 0.163 1 25 10
57320 0.217 1 25 10
4300 0.212 1 25 10
192 0.233 1 25 10
192476 0.252 1 25 10
74096 0.269 1 25 10
5348 0.15 1 25 10
192 0.387 1 25 10
181124 0.299 1 25 10
4796 0.282 1 25 10
196 0.341 1 25 10
84108 0.684 1 25 10
185612 0.684 1 25 10
4368 0.301 1 25 10
196 0.285 1 25 10
227936 0.276 1 25 10
110296 0.248 1 25 10
5008 0.299 1 25 10
221924 0.279 1 25 10
196 0.397 1 25 10
62388 0.324 1 25 10
196 0.314 1 25 10
153012 0.385 1 25 10
9132 0.351 1 25 10
163828 0.397 1 25 10
5624 0.404 1 25 10
257224 0.374 1 25 10
38496 0.37 1 25 10
196 0.23 1 25 10
9588 0.308 1 25 10
107400 0.333 1 25 10
192 0.446 1 25 10
212964 0.352 1 25 10
48632 0.239 1 25 10
