0.017 1.592 3.061 0.071 0.13 0.115 2.183 0.099 0.763 0
0.004 0.033 4.621 0.037 0.037 0.074 2.409 0.124 0.174 0
0.014 0.028 4.904 0.017 0.012 0.06 1.776 0.174 0.067 0
0.003 0.032 6.633 0.092 0.061 0.042 3.212 0.291 1.157 0
0.008 0.029 6.951 0.089 0.012 0.238 1.065 0.256 0.502 0
0.005 0.031 9.193 0.215 0.011 0.034 2.313 0.121 1.675 0
0.005 0.029 9.667 0.151 0.01 0.254 2.202 0.046 2.091 0
0.002 0.029 8.215 0.077 0.011 0.032 3.225 0.077 1.075 0
0.004 0.029 6.805 0.098 0.01 0.119 1.155 0.066 1.857 0
0.003 0.029 7.393 0.068 0.011 0.047 1.884 0.095 1.503 0
0.003 0.05 5.566 0.08 0.01 0.042 1.345 0.236 1.796 0
0.01 0.027 6.99 0.064 0.01 0.049 1.382 0.22 1.081 0
0.002 0.027 4.779 0.086 0.01 0.057 1.115 0.072 1.837 0
0.003 0.157 3.94 0.054 0.01 0.16 1.17 0.166 0.699 0
0.007 0.023 3.087 0.027 0.01 0.054 1.162 0.08 0.854 0
0.006 0.025 2.947 0.034 0.011 0.344 1.25 0.151 0.202 0
0.002 0.024 3.216 0.027 0.011 0.051 1.109 0.204 0.202 0
0.018 0.024 4.234 0.044 0.01 0.284 0.564 0.305 0.647 0
0.002 0.024 3.143 0.024 0.01 0.052 1.148 0.232 0.513 0
0.006 0.026 2.62 0.024 0.01 0.293 2.016 0.059 0.522 0
0.006 0.024 2.939 0.029 0.01 0.037 0.587 0.299 0.297 0
0.382 0.034 5.347 0.031 0.009 0.076 1.425 0.579 0.26 0
0.002 0.023 3.496 0.039 0.009 0.034 1.82 0.051 1.136 0
0.003 0.024 2.782 0.024 0.01 0.29 1.41 0.358 0.644 0
0.003 0.026 6.013 0.064 0.01 0.036 1.427 0.403 1.285 0
0.016 0.024 5.892 0.016 0.009 0.413 1.403 0.41 0.177 0
0.005 0.026 7.298 0.036 0.009 0.039 2.741 0.295 0.813 0
0.005 0.025 6.042 0.019 0.022 0.184 2.183 0.396 1.764 0
0.005 0.026 6.982 0.034 0.009 0.031 1.98 0.116 1.308 0
0.003 0.025 9.547 0.034 0.009 0.426 2.075 0.057 0.946 0
0.003 0.026 8.592 0.046 0.009 0.043 1.002 0.345 1.21 0
0.006 0.025 7.805 0.026 0.01 0.409 1.315 0.297 1.627 0
0.014 0.026 9.691 0.061 0.009 0.031 0 0.399 1.36 0
0.008 0.026 8.977 0.036 0.009 0.28 2.704 0.287 1.146 0
0.009 0.026 10.313 0.093 0.009 0.386 1.389 0.224 2.717 0
0.011 0.025 6.916 0.023 0.026 0.405 0.557 0.399 0.38 0
0.002 0.024 7.695 0.077 0.009 0.039 0.643 0.074 2.352 0
0.003 0.024 6.467 0.069 0.009 0.208 1.662 0.403 2.187 0
0.032 0.024 5.301 0.022 0.009 0.049 2.235 0.157 0.941 0
0.006 0.023 6.38 0.039 0.009 0 2.164 0.042 1.204 0
0.005 0.024 3.921 0.028 0.009 0.101 1.433 0.271 1.039 0
0.004 0.024 4.292 0.029 0.009 0.31 1.955 0.075 0.227 0
0.002 0.023 4.539 0.018 0.01 0.05 1.737 0.257 0.213 0
0.002 0.022 4.23 0.023 0.009 0.046 2.035 0.052 1.093 0
0.002 0.024 3.845 0.021 0.009 0.084 2.468 0.359 0.301 0
0.013 0.024 4.004 0.02 0.009 0.487 1.809 0.245 0.525 0
0.003 0.053 4.927 0.029 0.009 0.046 0.719 0.19 1.491 0
0.005 0.025 8.831 0.024 0.019 0.03 1.711 0.395 0.344 0
0.003 0.025 6.058 0.031 0.01 0.379 2.117 0.039 0.347 0
0.003 0.026 7.41 0.056 0.01 0.055 1.996 0.058 2.142 0
0.007 0.026 8.664 0.058 0.008 0.046 1.394 0.087 1.381 0
0.007 0.023 7.206 0.013 0.009 0.032 1.743 0.371 0.423 0
